Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2010;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;24g;22,9;4,0;136,0;296;81,1;1,0
2010;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;29,4;4,8;183,0;272;74,5;1,2
2010;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;32,9;1,0;468,0;8639;98,6;1,0
2010;³ódzkie;PL1002;strefa ³ódzka;LdPioTrSienk;LdPiotrkWIOSMSienkie;PM2.5;24g;29,8;2,2;204,0;230;63,0;2,6
2010;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;61,1;3,0;515,0;8733;99,7;1,0
2010;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;1g;34,4;3,0;423,0;6414;73,2;1,9
2010;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;24g;35,6;2,0;299,0;257;70,4;1,8
2010;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;40,8;3,0;375,0;6350;72,5;1,2
2010;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;24g;40,6;3,1;245,3;258;70,7;1,2
2010;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;MpTarnowWIOSBitw6304;PM2.5;24g;32,3;2,0;272,0;303;83,0;1,2
2010;ma³opolskie;PL1203;strefa ma³opolska;MpNSaczWIOSPija6204;MpNSaczWIOSPija6204;PM2.5;24g;46,6;4,0;357,0;232;63,6;1,7
2010;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;MpZakopaWIOSRown1701;PM2.5;24g;37,4;3,0;198,0;362;99,2;1,0
2010;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;24g;30,5;5,4;114,5;352;96,4;1,0
2010;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;28,3;1,8;92,9;349;95,6;1,0
2010;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;MzPlockReja;PM2.5;24g;27,9;6,0;111,6;299;81,9;0,8
2010;mazowieckie;PL1403;miasto Radom;MzRadHallera;MzRadomHallera;PM2.5;24g;25,8;3,1;98,7;156;42,7;1,8
